name	unicode	hex	comment
emdash	U2014	0x0aa9	
endash	U2013	0x0aaa	
signifblank	U2423	0x0aac	
ellipsis	U2026	0x0aae	
doubbaselinedot	U2025	0x0aaf	
onethird	U2153	0x0ab0	
twothirds	U2154	0x0ab1	
onefifth	U2155	0x0ab2	
twofifths	U2156	0x0ab3	
threefifths	U2157	0x0ab4	
fourfifths	U2158	0x0ab5	
onesixth	U2159	0x0ab6	
fivesixths	U215a	0x0ab7	
careof	U2105	0x0ab8	
figdash	U2012	0x0abb	
leftanglebracket	U27e8	0x0abc	
decimalpoint	U002e	0x0abd	
rightanglebracket	U27e9	0x0abe	
marker	U0000	0x0abf	
oneeighth	U215b	0x0ac3	
threeeighths	U215c	0x0ac4	
fiveeighths	U215d	0x0ac5	
seveneighths	U215e	0x0ac6	
trademark	U2122	0x0ac9	
signaturemark	U2613	0x0aca	
trademarkincircle	U0000	0x0acb	
leftopentriangle	U25c1	0x0acc	
rightopentriangle	U25b7	0x0acd	
emopencircle	U25cb	0x0ace	
emopenrectangle	U25af	0x0acf	
leftsinglequotemark	U2018	0x0ad0	
rightsinglequotemark	U2019	0x0ad1	
leftdoublequotemark	U201c	0x0ad2	
rightdoublequotemark	U201d	0x0ad3	
prescription	U211e	0x0ad4	
minutes	U2032	0x0ad6	
seconds	U2033	0x0ad7	
latincross	U271d	0x0ad9	
hexagram	U0000	0x0ada	
filledrectbullet	U25ac	0x0adb	
filledlefttribullet	U25c0	0x0adc	
filledrighttribullet	U25b6	0x0add	
emfilledcircle	U25cf	0x0ade	
emfilledrect	U25ae	0x0adf	
enopencircbullet	U25e6	0x0ae0	
enopensquarebullet	U25ab	0x0ae1	
openrectbullet	U25ad	0x0ae2	
opentribulletup	U25b3	0x0ae3	
opentribulletdown	U25bd	0x0ae4	
openstar	U2606	0x0ae5	
enfilledcircbullet	U2022	0x0ae6	
enfilledsqbullet	U25aa	0x0ae7	
filledtribulletup	U25b2	0x0ae8	
filledtribulletdown	U25bc	0x0ae9	
leftpointer	U261c	0x0aea	
rightpointer	U261e	0x0aeb	
club	U2663	0x0aec	
diamond	U2666	0x0aed	
heart	U2665	0x0aee	
maltesecross	U2720	0x0af0	
dagger	U2020	0x0af1	
doubledagger	U2021	0x0af2	
checkmark	U2713	0x0af3	
ballotcross	U2717	0x0af4	
musicalsharp	U266f	0x0af5	
musicalflat	U266d	0x0af6	
malesymbol	U2642	0x0af7	
femalesymbol	U2640	0x0af8	
telephone	U260e	0x0af9	
telephonerecorder	U2315	0x0afa	
phonographcopyright	U2117	0x0afb	
caret	U2038	0x0afc	
singlelowquotemark	U201a	0x0afd	
doublelowquotemark	U201e	0x0afe	
cursor	U0000	0x0aff	
leftcaret	U003c	0x0ba3	
rightcaret	U003e	0x0ba6	
downcaret	U2228	0x0ba8	
upcaret	U2227	0x0ba9	
overbar	U00af	0x0bc0	
downtack	U22a5	0x0bc2	
upshoe	U2229	0x0bc3	
downstile	U230a	0x0bc4	
underbar	U005f	0x0bc6	
jot	U2218	0x0bca	
quad	U2395	0x0bcc	
uptack	U22a4	0x0bce	
circle	U25cb	0x0bcf	
upstile	U2308	0x0bd3	
downshoe	U222a	0x0bd6	
rightshoe	U2283	0x0bd8	
leftshoe	U2282	0x0bda	
lefttack	U22a2	0x0bdc	
righttack	U22a3	0x0bfc	
hebrew_doublelowline	U2017	0x0cdf	
hebrew_aleph	U05d0	0x0ce0	
hebrew_bet	U05d1	0x0ce1	
hebrew_beth	U05d1	0x0ce1	/* deprecated */
hebrew_gimel	U05d2	0x0ce2	
hebrew_gimmel	U05d2	0x0ce2	/* deprecated */
hebrew_dalet	U05d3	0x0ce3	
hebrew_daleth	U05d3	0x0ce3	/* deprecated */
hebrew_he	U05d4	0x0ce4	
